
="",="(1)",="(2)",="(3)",="(4)"
="",="pc1_dummies",="pc1_counts",="count",="count_normal"

="unemployment_rate",="0.0544***",="0.0377***",="0.0380***",="0.00000430***"
="",="(0.00102)",="(0.00120)",="(0.00102)",="(0.000000819)"

="1.month",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="2.month",="-0.153***",="-0.119***",="-0.0999***",="-0.00000417"
="",="(0.00885)",="(0.0103)",="(0.00878)",="(0.00000708)"

="3.month",="-0.109***",="-0.0867***",="-0.0692***",="0.0000138"
="",="(0.00886)",="(0.0104)",="(0.00879)",="(0.00000709)"

="4.month",="-0.0175*",="-0.00696",="0.0165",="0.0000220**"
="",="(0.00890)",="(0.0104)",="(0.00883)",="(0.00000712)"

="5.month",="-0.0108",="-0.0153",="0.0000565",="0.00000937"
="",="(0.00890)",="(0.0104)",="(0.00882)",="(0.00000711)"

="6.month",="-0.0143",="-0.0167",="0.00355",="0.00000610"
="",="(0.00886)",="(0.0104)",="(0.00879)",="(0.00000708)"

="7.month",="-0.0335***",="-0.0353***",="-0.0218*",="-0.00000666"
="",="(0.00886)",="(0.0104)",="(0.00878)",="(0.00000708)"

="8.month",="-0.0130",="-0.0138",="-0.00858",="0.00000402"
="",="(0.00887)",="(0.0104)",="(0.00880)",="(0.00000709)"

="9.month",="-0.0202*",="-0.0227*",="-0.00702",="0.0000116"
="",="(0.00891)",="(0.0104)",="(0.00883)",="(0.00000712)"

="10.month",="-0.0398***",="-0.0392***",="-0.0297***",="-0.0000150*"
="",="(0.00892)",="(0.0104)",="(0.00885)",="(0.00000713)"

="11.month",="-0.0387***",="-0.0453***",="-0.0306***",="-0.0000144*"
="",="(0.00894)",="(0.0104)",="(0.00886)",="(0.00000714)"

="12.month",="-0.0984***",="-0.0826***",="-0.0652***",="-0.0000138*"
="",="(0.00857)",="(0.0100)",="(0.00850)",="(0.00000685)"

="1.state_code",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="2.state_code",="0.0280",="-0.00425",="-0.00231",="0.0000147"
="",="(0.0358)",="(0.0418)",="(0.0355)",="(0.0000286)"

="3.state_code",="0.0111",="-0.0284",="-0.0202",="0.0000312"
="",="(0.0382)",="(0.0447)",="(0.0379)",="(0.0000306)"

="4.state_code",="0.211***",="0.176***",="0.158***",="0.0000463"
="",="(0.0358)",="(0.0418)",="(0.0355)",="(0.0000286)"

="5.state_code",="0.119***",="0.101*",="0.0756*",="0.0000177"
="",="(0.0337)",="(0.0393)",="(0.0334)",="(0.0000269)"

="6.state_code",="0.259***",="0.175***",="0.140***",="0.0000289"
="",="(0.0365)",="(0.0427)",="(0.0362)",="(0.0000292)"

="7.state_code",="-0.00549",="-0.0382",="-0.0376",="0.0000302"
="",="(0.0370)",="(0.0433)",="(0.0367)",="(0.0000296)"

="8.state_code",="0.751***",="0.735***",="0.562***",="-0.0000101"
="",="(0.0432)",="(0.0505)",="(0.0429)",="(0.0000346)"

="9.state_code",="0.0238",="-0.0196",="-0.0218",="0.0000620"
="",="(0.0492)",="(0.0575)",="(0.0488)",="(0.0000393)"

="10.state_code",="0.134***",="0.0877*",="0.0801*",="0.0000192"
="",="(0.0340)",="(0.0397)",="(0.0337)",="(0.0000272)"

="11.state_code",="0.139***",="0.118**",="0.0920**",="0.0000191"
="",="(0.0346)",="(0.0404)",="(0.0343)",="(0.0000277)"

="12.state_code",="0.0717",="0.0375",="0.0525",="0.0000386"
="",="(0.0411)",="(0.0481)",="(0.0408)",="(0.0000329)"

="13.state_code",="0.136***",="0.0590",="0.0430",="0.00000745"
="",="(0.0378)",="(0.0442)",="(0.0375)",="(0.0000302)"

="14.state_code",="0.0972*",="0.0320",="0.0349",="0.00000255"
="",="(0.0440)",="(0.0514)",="(0.0436)",="(0.0000352)"

="15.state_code",="0.182***",="0.234***",="0.178***",="0.0000241"
="",="(0.0347)",="(0.0405)",="(0.0344)",="(0.0000277)"

="16.state_code",="0.126***",="0.0638",="0.0494",="0.0000169"
="",="(0.0353)",="(0.0413)",="(0.0350)",="(0.0000283)"

="17.state_code",="0.122**",="0.0527",="0.0437",="0.00000568"
="",="(0.0376)",="(0.0440)",="(0.0373)",="(0.0000301)"

="18.state_code",="0.0937*",="0.0497",="0.0287",="0.00000829"
="",="(0.0365)",="(0.0426)",="(0.0362)",="(0.0000292)"

="19.state_code",="0.160***",="0.123**",="0.115**",="0.0000184"
="",="(0.0365)",="(0.0427)",="(0.0362)",="(0.0000292)"

="20.state_code",="0.162***",="0.125**",="0.0948**",="0.0000442"
="",="(0.0350)",="(0.0409)",="(0.0347)",="(0.0000280)"

="21.state_code",="0.0758*",="0.0300",="0.0154",="0.0000468"
="",="(0.0372)",="(0.0434)",="(0.0369)",="(0.0000297)"

="22.state_code",="0.0697",="0.0192",="0.00158",="0.00000495"
="",="(0.0530)",="(0.0619)",="(0.0526)",="(0.0000424)"

="23.state_code",="0.0851*",="0.0357",="0.0204",="0.0000147"
="",="(0.0347)",="(0.0405)",="(0.0344)",="(0.0000277)"

="24.state_code",="0.147***",="0.0938*",="0.0755*",="0.00000961"
="",="(0.0360)",="(0.0421)",="(0.0357)",="(0.0000288)"

="25.state_code",="0.115**",="0.0492",="0.0316",="0.000000638"
="",="(0.0363)",="(0.0424)",="(0.0360)",="(0.0000290)"

="26.state_code",="-0.0643",="-0.0747",="-0.0632",="0.0000151"
="",="(0.0384)",="(0.0449)",="(0.0381)",="(0.0000307)"

="27.state_code",="-0.000647",="-0.0270",="-0.0142",="-0.0000112"
="",="(0.0530)",="(0.0619)",="(0.0526)",="(0.0000424)"

="28.state_code",="0.0908**",="0.0428",="0.0303",="0.0000252"
="",="(0.0348)",="(0.0406)",="(0.0345)",="(0.0000278)"

="29.state_code",="0.241***",="0.127*",="0.103",="0.00000690"
="",="(0.0541)",="(0.0632)",="(0.0536)",="(0.0000432)"

="30.state_code",="0.317***",="0.248***",="0.189***",="0.00000862"
="",="(0.0416)",="(0.0486)",="(0.0412)",="(0.0000333)"

="31.state_code",="0.144**",="0.0758",="0.0599",="0.0000566"
="",="(0.0459)",="(0.0537)",="(0.0455)",="(0.0000367)"

="32.state_code",="-0.0412",="-0.0541",="-0.0538",="0.0000291"
="",="(0.0351)",="(0.0410)",="(0.0348)",="(0.0000281)"

="33.state_code",="0.117**",="0.0590",="0.0517",="-0.000000791"
="",="(0.0426)",="(0.0498)",="(0.0422)",="(0.0000340)"

